first name,last name,username,birthday,picture,room,addresses,phone numbers,emails,relationships,pets,meals,allergies,dietary restrictions
YOUNG,BAKER, , , , ,"","","","","","","", ""
GENARO,SCOTT, , , , ,"","","","","","","", ""
ABDUL,EVANS, , , , ,"","","","","","","", ""
BRENDAN,BAKER, , , , ,"","","","","","","", ""
YOUNG,COX, , , , ,"","","","","","","", ""
MOHAMED,TURNER, , , , ,"","","","","","","", ""
CORTEZ,JOHNSON, , , , ,"","","","","","","", ""
DONNIE,BAKER, , , , ,"","","","","","","", ""
GEORGE,CARTER, , , , ,"","","","","","","", ""
ZACHARIAH,CAMPBELL, , , , ,"","","","","","","", ""
ISAAC,CAMPBELL, , , , ,"","","","","","","", ""
BARTON,GREEN, , , , ,"","","","","","","", ""
ADAM,GREEN, , , , ,"","","","","","","", ""
YOUNG,WARD, , , , ,"","","","","","","", ""
FRITZ,SMITH, , , , ,"","","","","","","", ""
BART,MITCHELL, , , , ,"","","","","","","", ""
ADALBERTO,ALLEN, , , , ,"","","","","","","", ""
GENE,ROBERTS, , , , ,"","","","","","","", ""
