first name,last name,username,birthday,picture,room,addresses,phone numbers,emails,relationships,pets,meals,allergies,dietary restrictions
 ,BAKER,bakery0, , , ,"","","","","","","", "", ""
 ,SCOTT,scottg0, , , ,"","","","","","","", "", ""
 ,EVANS,evansa0, , , ,"","","","","","","", "", ""
 ,BAKER,bakerb0, , , ,"","","","","","","Calories Burned 2016-03-11 2278
Steps 2016-03-11 16002
Distance 2016-03-11 5.84
Floors 2016-03-11 17
Calories Burned 2016-03-12 2678
Steps 2016-03-12 20273
Distance 2016-03-12 8.13
Floors 2016-03-12 12
Calories Burned 2016-03-13 2338
Steps 2016-03-13 15781
Distance 2016-03-13 5.58
Floors 2016-03-13 9
Calories Burned 2016-03-14 1937
Steps 2016-03-14 9527
Distance 2016-03-14 3.57
Floors 2016-03-14 16
Calories Burned 2016-03-15 1877
Steps 2016-03-15 8368
Distance 2016-03-15 3.18
Floors 2016-03-15 13
Calories Burned 2016-03-16 1804
Steps 2016-03-16 7243
Distance 2016-03-16 2.62
Floors 2016-03-16 14
Calories Burned 2016-03-17 2163
Steps 2016-03-17 13456
Distance 2016-03-17 5.24
Floors 2016-03-17 16
Calories Burned 2016-03-18 1901
Steps 2016-03-18 8149
Distance 2016-03-18 2.96
Floors 2016-03-18 15
Calories Burned 2016-03-19 2144
Steps 2016-03-19 11054
Distance 2016-03-19 3.93
Floors 2016-03-19 7
Calories Burned 2016-03-20 1802
Steps 2016-03-20 6674
Distance 2016-03-20 2.5
Floors 2016-03-20 18
Calories Burned 2016-03-21 2137
Steps 2016-03-21 13440
Distance 2016-03-21 5.21
Floors 2016-03-21 26
Calories Burned 2016-03-22 2294
Steps 2016-03-22 13974
Distance 2016-03-22 5.03
Floors 2016-03-22 30
Calories Burned 2016-03-23 1795
Steps 2016-03-23 6076
Distance 2016-03-23 2.21
Floors 2016-03-23 11
Calories Burned 2016-03-24 1751
Steps 2016-03-24 4719
Distance 2016-03-24 1.53
Floors 2016-03-24 6
Calories Burned 2016-03-25 1838
Steps 2016-03-25 5607
Distance 2016-03-25 1.82
Floors 2016-03-25 5
Calories Burned 2016-03-26 1996
Steps 2016-03-26 8928
Distance 2016-03-26 3.09
Floors 2016-03-26 7
Calories Burned 2016-03-27 2069
Steps 2016-03-27 9044
Distance 2016-03-27 2.94
Floors 2016-03-27 11
Calories Burned 2016-03-28 1873
Steps 2016-03-28 7246
Distance 2016-03-28 2.57
Floors 2016-03-28 16
Calories Burned 2016-03-29 1878
Steps 2016-03-29 6751
Distance 2016-03-29 2.46
Floors 2016-03-29 28
Calories Burned 2016-03-30 1848
Steps 2016-03-30 6209
Distance 2016-03-30 2.33
Floors 2016-03-30 13
Calories Burned 2016-03-31 2093
Steps 2016-03-31 11113
Distance 2016-03-31 4.21
Floors 2016-03-31 56
Calories Burned 2016-04-01 2054
Steps 2016-04-01 8678
Distance 2016-04-01 3.19
Floors 2016-04-01 13
Calories Burned 2016-04-02 2294
Steps 2016-04-02 10366
Distance 2016-04-02 3.53
Floors 2016-04-02 3
Calories Burned 2016-04-03 2108
Steps 2016-04-03 6794
Distance 2016-04-03 2.21
Floors 2016-04-03 8
Calories Burned 2016-04-04 1992
Steps 2016-04-04 7570
Distance 2016-04-04 2.8
Floors 2016-04-04 20
Calories Burned 2016-04-05 2135
Steps 2016-04-05 11072
Distance 2016-04-05 3.94
Floors 2016-04-05 21
Calories Burned 2016-04-06 1864
Steps 2016-04-06 6301
Distance 2016-04-06 2.32
Floors 2016-04-06 14
Calories Burned 2016-04-07 2358
Steps 2016-04-07 13328
Distance 2016-04-07 4.72
Floors 2016-04-07 19
Calories Burned 2016-04-08 1952
Steps 2016-04-08 9123
Distance 2016-04-08 3.36
Floors 2016-04-08 19
Calories Burned 2016-04-09 1304
Steps 2016-04-09 0
Distance 2016-04-09 0
Floors 2016-04-09 0
Calories Burned 2016-04-10 1304
Steps 2016-04-10 0
Distance 2016-04-10 0
Floors 2016-04-10 0
Calories Burned 2016-03-11 2278
Steps 2016-03-11 16002
Distance 2016-03-11 5.84
Floors 2016-03-11 17
Calories Burned 2016-03-12 2678
Steps 2016-03-12 20273
Distance 2016-03-12 8.13
Floors 2016-03-12 12
Calories Burned 2016-03-13 2338
Steps 2016-03-13 15781
Distance 2016-03-13 5.58
Floors 2016-03-13 9
Calories Burned 2016-03-14 1937
Steps 2016-03-14 9527
Distance 2016-03-14 3.57
Floors 2016-03-14 16
Calories Burned 2016-03-15 1877
Steps 2016-03-15 8368
Distance 2016-03-15 3.18
Floors 2016-03-15 13
Calories Burned 2016-03-16 1804
Steps 2016-03-16 7243
Distance 2016-03-16 2.62
Floors 2016-03-16 14
Calories Burned 2016-03-17 2163
Steps 2016-03-17 13456
Distance 2016-03-17 5.24
Floors 2016-03-17 16
Calories Burned 2016-03-18 1901
Steps 2016-03-18 8149
Distance 2016-03-18 2.96
Floors 2016-03-18 15
Calories Burned 2016-03-19 2144
Steps 2016-03-19 11054
Distance 2016-03-19 3.93
Floors 2016-03-19 7
Calories Burned 2016-03-20 1802
Steps 2016-03-20 6674
Distance 2016-03-20 2.5
Floors 2016-03-20 18
Calories Burned 2016-03-21 2137
Steps 2016-03-21 13440
Distance 2016-03-21 5.21
Floors 2016-03-21 26
Calories Burned 2016-03-22 2294
Steps 2016-03-22 13974
Distance 2016-03-22 5.03
Floors 2016-03-22 30
Calories Burned 2016-03-23 1795
Steps 2016-03-23 6076
Distance 2016-03-23 2.21
Floors 2016-03-23 11
Calories Burned 2016-03-24 1751
Steps 2016-03-24 4719
Distance 2016-03-24 1.53
Floors 2016-03-24 6
Calories Burned 2016-03-25 1838
Steps 2016-03-25 5607
Distance 2016-03-25 1.82
Floors 2016-03-25 5
Calories Burned 2016-03-26 1996
Steps 2016-03-26 8928
Distance 2016-03-26 3.09
Floors 2016-03-26 7
Calories Burned 2016-03-27 2069
Steps 2016-03-27 9044
Distance 2016-03-27 2.94
Floors 2016-03-27 11
Calories Burned 2016-03-28 1873
Steps 2016-03-28 7246
Distance 2016-03-28 2.57
Floors 2016-03-28 16
Calories Burned 2016-03-29 1878
Steps 2016-03-29 6751
Distance 2016-03-29 2.46
Floors 2016-03-29 28
Calories Burned 2016-03-30 1848
Steps 2016-03-30 6209
Distance 2016-03-30 2.33
Floors 2016-03-30 13
Calories Burned 2016-03-31 2093
Steps 2016-03-31 11113
Distance 2016-03-31 4.21
Floors 2016-03-31 56
Calories Burned 2016-04-01 2054
Steps 2016-04-01 8678
Distance 2016-04-01 3.19
Floors 2016-04-01 13
Calories Burned 2016-04-02 2294
Steps 2016-04-02 10366
Distance 2016-04-02 3.53
Floors 2016-04-02 3
Calories Burned 2016-04-03 2108
Steps 2016-04-03 6794
Distance 2016-04-03 2.21
Floors 2016-04-03 8
Calories Burned 2016-04-04 1992
Steps 2016-04-04 7570
Distance 2016-04-04 2.8
Floors 2016-04-04 20
Calories Burned 2016-04-05 2135
Steps 2016-04-05 11072
Distance 2016-04-05 3.94
Floors 2016-04-05 21
Calories Burned 2016-04-06 1864
Steps 2016-04-06 6301
Distance 2016-04-06 2.32
Floors 2016-04-06 14
Calories Burned 2016-04-07 2358
Steps 2016-04-07 13328
Distance 2016-04-07 4.72
Floors 2016-04-07 19
Calories Burned 2016-04-08 1952
Steps 2016-04-08 9123
Distance 2016-04-08 3.36
Floors 2016-04-08 19
Calories Burned 2016-04-09 1304
Steps 2016-04-09 0
Distance 2016-04-09 0
Floors 2016-04-09 0
Calories Burned 2016-04-10 1304
Steps 2016-04-10 0
Distance 2016-04-10 0
Floors 2016-04-10 0
Calories Burned 2016-03-11 2278
Steps 2016-03-11 16002
Distance 2016-03-11 5.84
Floors 2016-03-11 17
Calories Burned 2016-03-12 2678
Steps 2016-03-12 20273
Distance 2016-03-12 8.13
Floors 2016-03-12 12
Calories Burned 2016-03-13 2338
Steps 2016-03-13 15781
Distance 2016-03-13 5.58
Floors 2016-03-13 9
Calories Burned 2016-03-14 1937
Steps 2016-03-14 9527
Distance 2016-03-14 3.57
Floors 2016-03-14 16
Calories Burned 2016-03-15 1877
Steps 2016-03-15 8368
Distance 2016-03-15 3.18
Floors 2016-03-15 13
Calories Burned 2016-03-16 1804
Steps 2016-03-16 7243
Distance 2016-03-16 2.62
Floors 2016-03-16 14
Calories Burned 2016-03-17 2163
Steps 2016-03-17 13456
Distance 2016-03-17 5.24
Floors 2016-03-17 16
Calories Burned 2016-03-18 1901
Steps 2016-03-18 8149
Distance 2016-03-18 2.96
Floors 2016-03-18 15
Calories Burned 2016-03-19 2144
Steps 2016-03-19 11054
Distance 2016-03-19 3.93
Floors 2016-03-19 7
Calories Burned 2016-03-20 1802
Steps 2016-03-20 6674
Distance 2016-03-20 2.5
Floors 2016-03-20 18
Calories Burned 2016-03-21 2137
Steps 2016-03-21 13440
Distance 2016-03-21 5.21
Floors 2016-03-21 26
Calories Burned 2016-03-22 2294
Steps 2016-03-22 13974
Distance 2016-03-22 5.03
Floors 2016-03-22 30
Calories Burned 2016-03-23 1795
Steps 2016-03-23 6076
Distance 2016-03-23 2.21
Floors 2016-03-23 11
Calories Burned 2016-03-24 1751
Steps 2016-03-24 4719
Distance 2016-03-24 1.53
Floors 2016-03-24 6
Calories Burned 2016-03-25 1838
Steps 2016-03-25 5607
Distance 2016-03-25 1.82
Floors 2016-03-25 5
Calories Burned 2016-03-26 1996
Steps 2016-03-26 8928
Distance 2016-03-26 3.09
Floors 2016-03-26 7
Calories Burned 2016-03-27 2069
Steps 2016-03-27 9044
Distance 2016-03-27 2.94
Floors 2016-03-27 11
Calories Burned 2016-03-28 1873
Steps 2016-03-28 7246
Distance 2016-03-28 2.57
Floors 2016-03-28 16
Calories Burned 2016-03-29 1878
Steps 2016-03-29 6751
Distance 2016-03-29 2.46
Floors 2016-03-29 28
Calories Burned 2016-03-30 1848
Steps 2016-03-30 6209
Distance 2016-03-30 2.33
Floors 2016-03-30 13
Calories Burned 2016-03-31 2093
Steps 2016-03-31 11113
Distance 2016-03-31 4.21
Floors 2016-03-31 56
Calories Burned 2016-04-01 2054
Steps 2016-04-01 8678
Distance 2016-04-01 3.19
Floors 2016-04-01 13
Calories Burned 2016-04-02 2294
Steps 2016-04-02 10366
Distance 2016-04-02 3.53
Floors 2016-04-02 3
Calories Burned 2016-04-03 2108
Steps 2016-04-03 6794
Distance 2016-04-03 2.21
Floors 2016-04-03 8
Calories Burned 2016-04-04 1992
Steps 2016-04-04 7570
Distance 2016-04-04 2.8
Floors 2016-04-04 20
Calories Burned 2016-04-05 2135
Steps 2016-04-05 11072
Distance 2016-04-05 3.94
Floors 2016-04-05 21
Calories Burned 2016-04-06 1864
Steps 2016-04-06 6301
Distance 2016-04-06 2.32
Floors 2016-04-06 14
Calories Burned 2016-04-07 2358
Steps 2016-04-07 13328
Distance 2016-04-07 4.72
Floors 2016-04-07 19
Calories Burned 2016-04-08 1952
Steps 2016-04-08 9123
Distance 2016-04-08 3.36
Floors 2016-04-08 19
Calories Burned 2016-04-09 1304
Steps 2016-04-09 0
Distance 2016-04-09 0
Floors 2016-04-09 0
Calories Burned 2016-04-10 1304
Steps 2016-04-10 0
Distance 2016-04-10 0
Floors 2016-04-10 0
", "", ""
 ,COX,coxy0, , , ,"","","","","","","", "", ""
 ,TURNER,turnerm0, , , ,"","","","","","","", "", ""
 ,JOHNSON,johnsonc0, , , ,"","","","","","","", "", ""
 ,BAKER,bakerd0, , , ,"","","","","","","", "", ""
 ,CARTER,carterg0, , , ,"","","","","","","", "", ""
 ,CAMPBELL,campbellz0, , , ,"","","","","","","Calories Burned 2016-03-11 2278
Steps 2016-03-11 16002
Distance 2016-03-11 5.84
Floors 2016-03-11 17
Calories Burned 2016-03-12 2678
Steps 2016-03-12 20273
Distance 2016-03-12 8.13
Floors 2016-03-12 12
Calories Burned 2016-03-13 2338
Steps 2016-03-13 15781
Distance 2016-03-13 5.58
Floors 2016-03-13 9
Calories Burned 2016-03-14 1937
Steps 2016-03-14 9527
Distance 2016-03-14 3.57
Floors 2016-03-14 16
Calories Burned 2016-03-15 1877
Steps 2016-03-15 8368
Distance 2016-03-15 3.18
Floors 2016-03-15 13
Calories Burned 2016-03-16 1804
Steps 2016-03-16 7243
Distance 2016-03-16 2.62
Floors 2016-03-16 14
Calories Burned 2016-03-17 2163
Steps 2016-03-17 13456
Distance 2016-03-17 5.24
Floors 2016-03-17 16
Calories Burned 2016-03-18 1901
Steps 2016-03-18 8149
Distance 2016-03-18 2.96
Floors 2016-03-18 15
Calories Burned 2016-03-19 2144
Steps 2016-03-19 11054
Distance 2016-03-19 3.93
Floors 2016-03-19 7
Calories Burned 2016-03-20 1802
Steps 2016-03-20 6674
Distance 2016-03-20 2.5
Floors 2016-03-20 18
Calories Burned 2016-03-21 2137
Steps 2016-03-21 13440
Distance 2016-03-21 5.21
Floors 2016-03-21 26
Calories Burned 2016-03-22 2294
Steps 2016-03-22 13974
Distance 2016-03-22 5.03
Floors 2016-03-22 30
Calories Burned 2016-03-23 1795
Steps 2016-03-23 6076
Distance 2016-03-23 2.21
Floors 2016-03-23 11
Calories Burned 2016-03-24 1751
Steps 2016-03-24 4719
Distance 2016-03-24 1.53
Floors 2016-03-24 6
Calories Burned 2016-03-25 1838
Steps 2016-03-25 5607
Distance 2016-03-25 1.82
Floors 2016-03-25 5
Calories Burned 2016-03-26 1996
Steps 2016-03-26 8928
Distance 2016-03-26 3.09
Floors 2016-03-26 7
Calories Burned 2016-03-27 2069
Steps 2016-03-27 9044
Distance 2016-03-27 2.94
Floors 2016-03-27 11
Calories Burned 2016-03-28 1873
Steps 2016-03-28 7246
Distance 2016-03-28 2.57
Floors 2016-03-28 16
Calories Burned 2016-03-29 1878
Steps 2016-03-29 6751
Distance 2016-03-29 2.46
Floors 2016-03-29 28
Calories Burned 2016-03-30 1848
Steps 2016-03-30 6209
Distance 2016-03-30 2.33
Floors 2016-03-30 13
Calories Burned 2016-03-31 2093
Steps 2016-03-31 11113
Distance 2016-03-31 4.21
Floors 2016-03-31 56
Calories Burned 2016-04-01 2054
Steps 2016-04-01 8678
Distance 2016-04-01 3.19
Floors 2016-04-01 13
Calories Burned 2016-04-02 2294
Steps 2016-04-02 10366
Distance 2016-04-02 3.53
Floors 2016-04-02 3
Calories Burned 2016-04-03 2108
Steps 2016-04-03 6794
Distance 2016-04-03 2.21
Floors 2016-04-03 8
Calories Burned 2016-04-04 1992
Steps 2016-04-04 7570
Distance 2016-04-04 2.8
Floors 2016-04-04 20
Calories Burned 2016-04-05 2135
Steps 2016-04-05 11072
Distance 2016-04-05 3.94
Floors 2016-04-05 21
Calories Burned 2016-04-06 1864
Steps 2016-04-06 6301
Distance 2016-04-06 2.32
Floors 2016-04-06 14
Calories Burned 2016-04-07 2358
Steps 2016-04-07 13328
Distance 2016-04-07 4.72
Floors 2016-04-07 19
Calories Burned 2016-04-08 1952
Steps 2016-04-08 9123
Distance 2016-04-08 3.36
Floors 2016-04-08 19
Calories Burned 2016-04-09 1304
Steps 2016-04-09 0
Distance 2016-04-09 0
Floors 2016-04-09 0
Calories Burned 2016-04-10 1304
Steps 2016-04-10 0
Distance 2016-04-10 0
Floors 2016-04-10 0
", "", ""
