first name,last name,username,birthday,picture,room,addresses,phone numbers,emails,relationships,pets,meals,allergies,dietary restrictions
DOYLE,JACKSON,jacksond1,1949-04-23,profile_pictures\pic1.jpg,Room 15,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(561) 742-3921;(874) 381-4941;(943) 570-2414","isi@tidur.org;lad@kupez.gov;motjeni@muvu.io","CORY, LEE, Son-in-Law, 1988-09-17;BEN, EVANS, Father, 1987-11-18","Rocky, Dog;Max, Fish;Max, Fish;Lucy, Cat","Wings, 7, ;Jollof, 10, ","", "", ""
ZACHARIAH,JACKSON,jacksonz0,1958-04-16,profile_pictures\pic3.png,Room 5,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(943) 570-2414;(741) 951-5271;(784) 287-1076","lad@kupez.gov;juh@antof.com;hohzavi@paw.edu","AARON, SANCHEZ, Daughter-in-Law, 1938-02-03;DOUGLASS, CAMPBELL, Son-in-Law, 2002-01-05;ABRAM, MITCHELL, Son, 1989-11-01;JESS, DIAZ, Daughter, 2009-02-04;GEORGE, PHILLIPS, Daughter-in-Law, 1965-08-16","Rocky, Cat;Lucy, Cat;Max, Cat;Lucy, Fish;Buddy, Cat","Mac & Cheese, 10, ;Wings, 8, ;Pizza, 2, ;Mac & Cheese, 10, ;Pizza, 4, ","", "", ""
OSCAR,ROBERTS,robertso0,1937-10-17,profile_pictures\pic1.jpg,Room 2,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(500) 244-7083;(367) 226-2040;(367) 226-2040","opwankiw@seiteevo.io;fuivif@daunen.gov;gunob@moahu.net","IRWIN, JACKSON, Son, 1997-02-06;ADALBERTO, YOUNG, Daughter-in-Law, 1976-07-13;RANDOLPH, EVANS, Daughter, 1994-12-16;JESS, CARTER, Sister, 1972-11-03;HERSCHEL, ALLEN, Sister, 1949-07-21;MOHAMED, HALL, Sister, 1958-04-13","Rocky, Dog;Max, Fish;Buddy, Fish;Max, Fish;Max, Cat;Bob, Fish","Jollof, 5, ;Jollof, 10, ;Jollof, 10, ;Wings, 9, ;Jollof, 7, ;Wings, 1, ","", "", ""
GENARO,CAMPBELL,campbellg0,2005-09-01,profile_pictures\pic2.jpg,Room 8,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(943) 570-2414;(741) 951-5271;(943) 570-2414","fapet@go.edu;juh@antof.com;mewso@necuwnuk.io","RANDY, JACKSON, Mother, 1931-10-03;OSWALDO, MARTINEZ, Son, 1996-12-22;YOUNG, SCOTT, Daughter-in-Law, 1960-02-05;GENE, DIAZ, Daughter, 1943-04-12;XAVIER, CAMPBELL, Son, 1954-06-16;NOEL, JACKSON, Daughter-in-Law, 1964-01-10;YONG, DIAZ, Son, 1997-05-17","Max, Dog;Rocky, Cat;Lucy, Cat;Buddy, Cat;Max, Dog;Buddy, Dog;Rocky, Fish","Pizza, 4, ;Mac & Cheese, 4, ;Mac & Cheese, 3, ;Pizza, 3, ;Jollof, 10, ;Wings, 9, ;Pizza, 4, ","", "", ""
RANDY,SANCHEZ,sanchezr1,1941-06-14,profile_pictures\pic3.png,Room 13,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(943) 570-2414;(815) 825-6662;(943) 570-2414","lad@kupez.gov;lad@kupez.gov;motjeni@muvu.io","HERMAN, TURNER, Son, 1959-05-16;NEIL, TURNER, Daughter, 1946-12-16;CEDRIC, WARD, Daughter-in-Law, 1984-11-22","Buddy, Fish;Bob, Dog;Max, Fish","Pizza, 6, ;Wings, 4, ;Mac & Cheese, 1, ","", "", ""
YONG,JOHNSON,johnsony0,1937-08-25,profile_pictures\pic2.jpg,Room 9,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(784) 287-1076;(561) 742-3921;(874) 381-4941","lad@kupez.gov;nupedu@ta.edu;uj@orkimfah.com","JEAN, RICHARDSON, Son, 1981-01-10;BRENDAN, GREEN, Mother, 2007-12-02;RANDOLPH, GREEN, Father, 1978-03-03;ORVILLE, CAMPBELL, Sister, 1997-03-11;DOYLE, JACKSON, Father, 1950-04-11","Buddy, Fish;Rocky, Dog;Rocky, Fish;Rocky, Dog;Lucy, Cat","Pizza, 6, ;Mac & Cheese, 3, ;Wings, 4, ;Mac & Cheese, 1, ;Pizza, 5, ","", "", ""
CESAR,HALL,hallc0,2005-03-19,profile_pictures\pic3.png,Room 14,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(500) 244-7083;(874) 381-4941;(874) 381-4941","mewso@necuwnuk.io;hohzavi@paw.edu;gunob@moahu.net","WYATT, EVANS, Daughter-in-Law, 2003-12-04;CEDRIC, CAMPBELL, Father, 1931-12-05;GABRIEL, SANCHEZ, Son, 1978-05-16;DONNIE, WALKER, Father, 1953-07-17;XAVIER, COX, Son, 1934-11-23;ODIS, WALKER, Son-in-Law, 1973-08-01;NEIL, HALL, Daughter, 1968-01-02;NORMAN, JACKSON, Daughter-in-Law, 1997-11-20;NOEL, SANCHEZ, Daughter-in-Law, 1984-02-02","Bob, Dog;Bob, Cat;Bob, Cat;Buddy, Dog;Max, Dog;Lucy, Dog;Max, Dog;Buddy, Dog;Max, Cat","Wings, 4, ;Mac & Cheese, 1, ;Pizza, 2, ;Mac & Cheese, 9, ;Wings, 7, ;Mac & Cheese, 3, ;Mac & Cheese, 10, ;Jollof, 7, ;Pizza, 10, ","", "", ""
YOUNG,COX,coxy1,1940-08-17,profile_pictures\pic1.jpg,Room 19,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(500) 244-7083;(741) 951-5271;(943) 570-2414","nupedu@ta.edu;gunob@moahu.net;lad@kupez.gov","ISAAC, JACKSON, Son-in-Law, 1997-04-09;RASHAD, PHILLIPS, Sister, 1995-05-02;BEAU, BAKER, Daughter, 1951-12-16;AARON, GREEN, Father, 1958-04-14;GABRIEL, THOMAS, Son, 2006-08-01;HERB, KING, Father, 1965-05-24","Max, Cat;Rocky, Dog;Buddy, Dog;Buddy, Cat;Rocky, Fish;Max, Fish","Mac & Cheese, 6, ;Mac & Cheese, 7, ;Pizza, 1, ;Jollof, 3, ;Pizza, 6, ;Mac & Cheese, 10, ","", "", ""
YONG,TURNER,turnery0,1932-09-14,profile_pictures\pic1.jpg,Room 8,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(784) 287-1076;(943) 570-2414;(838) 727-6573","me@udaga.net;uggako@filse.net;fuivif@daunen.gov","JEAN, COX, Daughter-in-Law, 2007-08-18;NOLAN, WARD, Son-in-Law, 1976-01-26","Rocky, Dog;Bob, Dog;Max, Fish;Buddy, Fish;Bob, Fish;Max, Cat;Lucy, Dog","Jollof, 8, ;Pizza, 8, ;Pizza, 5, ;Pizza, 10, ;Wings, 5, ;Jollof, 5, ;Mac & Cheese, 10, ","", "", ""
HERBERT,LEE,leeh2,1992-02-18,profile_pictures\pic2.jpg,Room 14,"100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,;100 Institute Rd,Worcester MA, 01609,","(815) 825-6662;(367) 226-2040;(784) 287-1076","johu@codovo.org;gunob@moahu.net;gunob@moahu.net","GABRIEL, SCOTT, Daughter-in-Law, 1966-07-23;BARTON, TURNER, Father, 2008-07-15;CORTEZ, JACKSON, Father, 1939-12-23;JED, DIAZ, Son, 1982-10-03","Max, Cat;Max, Dog;Bob, Dog;Max, Dog","Wings, 9, ;Mac & Cheese, 5, ;Wings, 6, ;Jollof, 1, ","", "", ""
